"num","cc","subversion","WI","KR","GE","PR","KRheight","KRweight","KRage","PRheight","PRweight","PRage","useable","PRgood","KRgood"
"4","BJ",1,"BJWI41FL.DTA","BJKR41FL.DTA","BJGE42FL.shp","BJPR41FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","BJ",1,"","BJKR61FL.DTA","BJGE61FL.shp","BJPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","BJ",1,"","BJKR51FL.DTA","","BJPR51FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"5","BO",1,"","BOKR51FL.DTA","BOGE53FL.shp","BOPR51FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"0","BO",1,"","BOKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","BO",1,"BOWI31FL.DTA","BOKR31FL.DTA","","BOPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","BO",2,"BOWI3BFL.DTA","BOKR3BFL.DTA","","BOPR3BFL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","BO",1,"","BOKR41FL.DTA","","BOPR41FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"6","BU",1,"","BUKR61FL.DTA","BUGE61FL.shp","BUPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","BU",2,"","BUKR6HFL.DTA","BUGE6AFL.shp","BUPR6HFL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"0","BU",1,"","BUKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"5","CD",1,"","CDKR50FL.DTA","CDGE52FL.shp","CDPR50FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","CD",1,"","CDKR61FL.DTA","CDGE61FL.shp","CDPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","CF",1,"CFWI31FL.DTA","CFKR31FL.DTA","CFGE33FL.shp","CFPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","CI",1,"CIWI34FL.DTA","CIKR35FL.DTA","CIGE33FL.shp","CIPR35FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","CI",2,"CIWI3AFL.DTA","CIKR3AFL.DTA","CIGE3BFL.shp","CIPR3AFL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
