"latitude","longitude","code","interview_year","interview_month"
29.37536,30.73447,"EG-4-2-3500105",2003,6
31.11968,30.14292,"EG-4-2-2610102",2003,6
30.03877,31.11145,"EG-4-2-3130603",2003,6
31.39862,31.60912,"EG-4-2-1090202",2003,6
30.68168,31.18746,"EG-4-2-2320103",2003,5
24.86505,32.88826,"EG-4-2-4590103",2003,5
30.23875,31.22906,"EG-4-2-1840304",2003,5
29.06817,31.10309,"EG-4-2-3260305",2003,5
30.54001,31.78202,"EG-4-2-2850601",2003,5
31.26259,32.29071,"EG-4-2-780204",2003,6
31.21793,29.98366,"EG-4-2-500904",2003,6
27.93336,30.79561,"EG-4-2-3640404",2003,6
31.1828033206,30.5588017641,"EG-4-2-2650102",2003,6
24.40309,32.92951,"EG-4-2-4540203",2003,5
29.99367,32.55496,"EG-4-2-901005",2003,6
31.1874,31.62517,"EG-4-2-1140204",2003,6
29.98051,32.53407,"EG-4-2-871105",2003,6
31.22479,29.94388,"EG-4-2-540506",2003,5
30.00328,31.20484,"EG-4-2-3073206",2003,6
30.74445,31.04801,"EG-4-2-2300104",2003,5
30.57486,31.5203,"EG-4-2-1430302",2003,5
28.58802,30.80544,"EG-4-2-3670303",2003,6
31.29211,32.19723,"EG-4-2-700102",2003,6
26.74549,31.51411,"EG-4-2-4140205",2003,6
31.14007,30.11709,"EG-4-2-2540303",2003,6
30.91553,31.32321,"EG-4-2-1370104",2003,5
31.01227,29.8118,"EG-4-2-670301",2003,5
30.76166,31.5565,"EG-4-2-1500103",2003,5
26.16376,32.51929,"EG-4-2-4420301",2003,6
29.77527,31.20556,"EG-4-2-3180101",2003,6
30.70678,31.57954,"EG-4-2-1410604",2003,5
29.99522,31.2602,"EG-4-2-342003",2003,6
30.9221,30.30942,"EG-4-2-2581101",2003,6
30.97888,31.16458,"EG-4-2-2090216",2003,5
31.18181,29.92273,"EG-4-2-590306",2003,5
30.01086,31.24593,"EG-4-2-270204",2003,6
30.5057,30.76678,"EG-4-2-2770104",2003,6
30.05502,31.19694,"EG-4-2-2980402",2003,6
31.23124,30.01382,"EG-4-2-450401",2003,5
31.0031,31.40385,"EG-4-2-1300107",2003,5
31.44937,31.74632,"EG-4-2-1080204",2003,5
28.30018,30.70308,"EG-4-2-3730101",2003,5
26.56595,31.66605,"EG-4-2-4210102",2003,6
30.7083,31.01296,"EG-4-2-2300108",2003,5
31.20078,29.89951,"EG-4-2-570108",2003,5
30.37549,31.19122,"EG-4-2-1800104",2003,6
30.15588,31.33359,"EG-4-2-10804",2003,5
27.17557,31.18019,"EG-4-2-3880811",2003,5
30.73117,31.24839,"EG-4-2-2151305",2003,6
31.26715383,32.31358503,"EG-4-2-790107",2003,6
30.79567,31.00242,"EG-4-2-2140101",2003,5
31.21208,31.3777,"EG-4-2-1160405",2003,5
30.59646,30.88169,"EG-4-2-2330403",2003,6
30.098143216,31.2292500859,"EG-4-2-2964505",2003,5
29.0613,31.12287,"EG-4-2-3250803",2003,5
31.21862,30.8255,"EG-4-2-1990102",2003,6
30.12357,31.16627,"EG-4-2-3150110",2003,5
30.42173,31.09049,"EG-4-2-2480108",2003,6
30.71409,31.26583,"EG-4-2-1211706",2003,5
30.03628,31.18534,"EG-4-2-3000708",2003,6
31.05614,31.41918,"EG-4-2-1200601",2003,5
29.2179,30.7532,"EG-4-2-3580202",2003,6
26.08833,32.29561,"EG-4-2-4400103",2003,5
31.23662,29.9791,"EG-4-2-523806",2003,5
30.48956,31.54984,"EG-4-2-1580203",2003,5
30.48091,31.55196,"EG-4-2-1580206",2003,5
31.21185,31.40982,"EG-4-2-1320101",2003,5
30.15393,31.38584,"EG-4-2-20306",2003,5
29.30679,30.74174,"EG-4-2-3560103",2003,6
29.91242,31.29108,"EG-4-2-380209",2003,6
26.21939,32.00357,"EG-4-2-4110606",2003,6
26.66561,31.62612,"EG-4-2-4170204",2003,6
27.38009,30.79944,"EG-4-2-3930103",2003,5
29.08257,31.08401,"EG-4-2-3250404",2003,5
26.1479,32.78223,"EG-4-2-4430204",2003,5
26.56647,31.71499,"EG-4-2-4080201",2003,6
31.05748,31.40849,"EG-4-2-1200306",2003,6
31.18132,29.91354,"EG-4-2-600705",2003,6
27.04715,31.33957,"EG-4-2-4020301",2003,5
29.96714,31.26454,"EG-4-2-330208",2003,5
30.38883,31.33403,"EG-4-2-1650206",2003,5
31.09447,31.65936,"EG-4-2-1270104",2003,5
31.39285,31.83281,"EG-4-2-1040101",2003,6
30.56061,31.78496,"EG-4-2-2850301",2003,5
30.08757,31.28423,"EG-4-2-200202",2003,6
27.13934,31.19839,"EG-4-2-3990102",2003,5
26.56421,31.75643,"EG-4-2-4190104",2003,6
30.68708,31.75575,"EG-4-2-1510101",2003,5
26.1554254204,32.0110759614,"EG-4-2-4360104",2003,6
31.02847,31.38505,"EG-4-2-1190109",2003,5
31.03045,30.46606,"EG-4-2-2570101",2003,6
27.97252,30.8184,"EG-4-2-3790201",2003,6
30.04918,31.25569,"EG-4-2-260210",2003,6
30.55998,32.27277,"EG-4-2-2830201",2003,5
31.2812,31.72207,"EG-4-2-1120204",2003,6
29.85979,31.27181,"EG-4-2-3090115",2003,6
30.85014,30.86016,"EG-4-2-2260103",2003,5
29.08079,31.09083,"EG-4-2-3260303",2003,5
31.24968,32.28884,"EG-4-2-820208",2003,6
30.37696,30.35065,"EG-4-2-2590304",2003,6
30.73117,31.24839,"EG-4-2-2151305",2003,5
28.91836,30.84845,"EG-4-2-3270208",2003,6
31.26488225,30.21235997,"EG-4-2-2600403",2003,6
30.13774,31.26927,"EG-4-2-1754904",2003,5
30.83877,31.35996,"EG-4-2-1350202",2003,5
30.0668,31.19929,"EG-4-2-2966206",2003,5
26.06364,32.14753,"EG-4-2-4320103",2003,6
31.23542,29.95272,"EG-4-2-480108",2003,5
30.88162,31.29191,"EG-4-2-1390403",2003,5
30.76736,31.34317,"EG-4-2-1380307",2003,5
26.30234,31.92838,"EG-4-2-4250502",2003,6
30.74299,31.62107,"EG-4-2-1530103",2003,5
30.61536,31.05534,"EG-4-2-2390102",2003,6
29.25882,31.18965,"EG-4-2-3290101",2003,6
31.05511,31.64111,"EG-4-2-1280204",2003,5
29.32071,30.83426,"EG-4-2-3440208",2003,6
30.00443,32.57576,"EG-4-2-900704",2003,6
26.12941,32.51492,"EG-4-2-4420303",2003,6
30.5172,30.95028,"EG-4-2-2420210",2003,6
30.58932,31.49895,"EG-4-2-1430305",2003,5
30.04986,31.31434,"EG-4-2-230403",2003,6
30.58478,32.277,"EG-4-2-2790104",2003,6
31.30259,31.67045,"EG-4-2-1110103",2003,6
31.24895571,32.31836092,"EG-4-2-800402",2003,6
31.48694,31.85334,"EG-4-2-1000504",2003,6
30.65608,31.49604,"EG-4-2-1600107",2003,5
30.1162,31.24634,"EG-4-2-1767303",2003,5
30.54209,32.28097,"EG-4-2-2891104",2003,6
31.26065564,32.29499186,"EG-4-2-740104",2003,6
28.03293,30.75319,"EG-4-2-3770101",2003,6
30.1279271406,31.3052152196,"EG-4-2-90104",2003,6
31.10893,29.77691,"EG-4-2-640203",2003,5
29.04106,31.01271,"EG-4-2-3370105",2003,6
30.90038,30.95759,"EG-4-2-2280101",2003,5
30.41586,31.25451,"EG-4-2-1790403",2003,6
30.13086,31.3452,"EG-4-2-50703",2003,6
30.13113,31.35757,"EG-4-2-61404",2003,6
31.12269,31.11649,"EG-4-2-2180109",2003,5
31.22657389,32.29141911,"EG-4-2-830502",2003,6
30.09217,31.21079,"EG-4-2-2944804",2003,5
31.20533487,29.88166275,"EG-4-2-570104",2003,5
31.23204,29.97803,"EG-4-2-522704",2003,5
30.48293,31.53627,"EG-4-2-1630107",2003,5
28.20811,30.61567,"EG-4-2-3750202",2003,5
27.37085,30.86665,"EG-4-2-3950103",2003,5
30.06062,31.24178,"EG-4-2-220109",2003,6
30.78714,31.56743,"EG-4-2-1500106",2003,5
30.53672,31.67183,"EG-4-2-1450202",2003,6
30.61018,32.30611,"EG-4-2-2830501",2003,6
29.98404,32.53417,"EG-4-2-951702",2003,6
31.27354,30.7861,"EG-4-2-1910501",2003,6
29.30976,30.85213,"EG-4-2-3450411",2003,6
27.40184,30.92208,"EG-4-2-3950303",2003,5
31.41117,31.8399,"EG-4-2-1070803",2003,6
0,0,"EG-4-2-5470302",2003,5
31.16326,29.90039,"EG-4-2-620101",2003,5
0,0,"EG-4-2-5421002",2003,6
31.07095,30.33659,"EG-4-2-2630102",2003,6
30.91802,31.15213,"EG-4-2-2170410",2003,5
30.79057,31.91173,"EG-4-2-1470107",2003,5
31.07233,31.67334,"EG-4-2-1280202",2003,5
30.50873,31.25223,"EG-4-2-1770105",2003,5
30.61588,32.25801,"EG-4-2-2820207",2003,6
24.10806,32.92459,"EG-4-2-4550601",2003,5
30.53938,31.01037,"EG-4-2-2340104",2003,6
31.33794,31.72045,"EG-4-2-1030308",2003,6
30.3492,31.30531,"EG-4-2-1820101",2003,6
30.61018,32.30611,"EG-4-2-2830501",2003,5
29.9759,32.55546,"EG-4-2-941104",2003,6
30.01317,31.19356,"EG-4-2-3060304",2003,6
29.40165,31.27831,"EG-4-2-3230102",2003,5
31.35103,30.50334,"EG-4-2-2000102",2003,6
26.1619,32.74378,"EG-4-2-4311306",2003,5
30.53672,31.67183,"EG-4-2-1450202",2003,5
29.96288,32.54954,"EG-4-2-962401",2003,6
31.41627,31.80442,"EG-4-2-1010203",2003,6
29.99145,31.16341,"EG-4-2-3050102",2003,6
29.97336,32.53654,"EG-4-2-920114",2003,6
30.46616,31.55165,"EG-4-2-1570205",2003,5
30.76929,30.98839,"EG-4-2-2120202",2003,6
29.98851,31.22515,"EG-4-2-351608",2003,6
31.10277,31.29036,"EG-4-2-1170201",2003,5
31.05864,30.20338,"EG-4-2-2640202",2003,6
30.99517,31.16285,"EG-4-2-2090608",2003,6
30.56199,31.16002,"EG-4-2-2400101",2003,6
30.75929,30.7975,"EG-4-2-2250202",2003,5
30.37145,30.36469,"EG-4-2-2590301",2003,6
31.22396,29.96078,"EG-4-2-510407",2003,6
30.35568283,31.09092218,"EG-4-2-1810302",2003,6
31.20841,29.98129,"EG-4-2-500209",2003,6
25.85897,32.77725,"EG-4-2-4480204",2003,5
31.02584,30.4984,"EG-4-2-2680102",2003,6
26.19105,31.99877,"EG-4-2-4280302",2003,6
30.17634,31.21248,"EG-4-2-1700902",2003,5
27.6693,30.83076,"EG-4-2-3840201",2003,5
31.12663,29.82354,"EG-4-2-630410",2003,6
30.6103,32.25891,"EG-4-2-2840801",2003,5
29.15234,31.12305,"EG-4-2-3240402",2003,6
30.60802,32.28875,"EG-4-2-2811203",2003,6
